ID,Country,Institution,Description,Contact,Link,Researchers,Students,Others,Accommodation,Funding,Remote work,General funding scheme,Other,Research focus,Natural sciences,Social sciences,Humanities and the arts,Engineering and technology,Medical and health sciences,Agricultural and veterinary sciences,Unspecified,Support period,Additional support,lat,lng
U20,United Kingdom,Cambridge Institute for Medical Research (CIMR),"The Marciniak group based in the Cambridge Institute for Medical Research (CIMR), is seeking a postdoctoral fellow to drive innovation in the diagnosis and treatment of pleural mesothelioma. In collaboration with the Garnett Group in the Wellcome Trust Sanger Institute and the Rintoul Group in the CRUK Cambridge Cancer Centre, you will use multi-omics analysis including genomics, transcriptomics and genome-wide CRISPR screening and high-throughput drug screening to identify novel vulnerabilities in mesothelioma.",,https://www.jobs.cam.ac.uk/job/33879/,1,,,,1,,,,Medicine,,,,,1,,,2-3 years,,52.1765,0.1394
U21,United Kingdom,University of Aberdeen,"New King's PhD Studentship in the School of Language, Literature, Music, and Visual Culture - Fee Waiver + Stipend.",julia.kotzur@abdn.ac.uk,https://www.abdn.ac.uk/sll/scholarships/new-kings-studentship-1242.php,,1,,,1,,,,Humanities,,,1,,,,,3 years,,57.1648,-2.1021
U22,United Kingdom,Natural History Museum in Tring,Any Ukraine bird/conservation researchers who need a temporary home and can get to the U.K. can be accommodated at the Natural History Museum in Tring,,https://www.nhm.ac.uk/our-science/departments-and-staff/staff-directory/alex-bond.html,1,,,,,,,,"Bird, conservation researchers",,,,,,1,,,,51.7907,-0.6634
U23,United Kingdom,Bristol University,"Berger Schaffitzel labs at University of Bristol invites PhD student or a postdoc at a Ukrainian university/institute on a topic related to synthetic and structural biology and you would be interested for an internship (for up to 6 months or more). We would be happy to cover any expenses we can related to travel and living costs and of course all research-related expenditures.\nAlso, if we can assist any research groups working on similar topics to our lab with any experiments that need completion, please let us know.",christiane.berger-schaffitzel@bristol.ac.uk,https://twitter.com/berger_labs,,1,,1,1,,,,synthetic and structural biology,1,,,,,,,up to 6 months or more,,51.4584,-2.6052
U24,United Kingdom,"Digital Aviation Research and Technology Centre, Cranfield University","2 PhD scholarships in AI, Autonomy, Drone, Wireless, Security for qualified students from Ukraine. Based at Cranfield University Aerospace and Digital Aviation Research and Technology Centre\nSupport to ensure a smooth transition.",Weisi.Guo@cranfield.ac.uk,https://www.cranfield.ac.uk/research/phd/satm-aero-human-drones-teaming-for-autonomous-rescue,,1,,,1,,,,"AI, autonomy, drone, wireless, security",1,,,1,,,,,,52.0675,-0.6300
U25,United Kingdom,University of Sussex,"PhD student or a postdoc at a Ukrainian university/institute on a topic related to structural biology and you would be interested in doing an internship at the University of Sussex (for ~up to 6 months or more if possible), please get in touch with Laurence Pearl",Laurence.Pearl@sussex.ac.uk,https://www.sussex.ac.uk/,1,1,,,,,,,structural biology,1,,,,,,,up to 6 months or more if possible,,50.8677,-0.0897
U26,United Kingdom,Carozo Salas Lab,"We offer 6 month internship for Ukranina researcher in the fields of human stem cells, cell biology, quantitative bioimaging and machine learning.",rc16805@bristol.ac.uk,https://carazosalaslab.wordpress.com/,1,1,,,1,,,,"Human stem cells, cell biology, quantitative bioimaging and machine learning",1,,,1,,,,,,51.4589,-2.6098
U27,United Kingdom,Neuroscientists at the University of Sussex and the Brighton and Sussex Medical School,Neuroscientists at the University of Sussex and the Brighton and Sussex Medical School pledge to help researchers affected by the invasion of Ukraine and seeking a place to move. They are a grouping of many labs. DM @SussexNeuro or email (https://www.sussex.ac.uk/research/centres/sussex-neuroscience/people) them if you are a neuroscience PhD student/postdoc to help you with internships.,,https://www.sussex.ac.uk/research/centres/sussex-neuroscience/,1,1,,,,,,,Neuroscience,1,,,,,,,,,50.8643,-0.0891
U28,United Kingdom,"Queen Mary University of London, School of Biological and Behavioural Sciences",School of Biological and Behavioural Sciences Queen Mary University of Londonoffers a paid internship for a PhD student or a postdoc at a Ukrainian university/institute on a topic related to cell/molecular/computational biology or biochemistry. Please DM \n@vmdraviam for a further information.,sbbs@qmul.ac.uk,https://www.qmul.ac.uk/sbbs/,1,1,,,,,,,"cell biology, molecularbiology, computational biology",1,,,,,,,for ~up to 6 months or more if possible,,51.5232,-0.0422
U29,United Kingdom,"School of Science, University of Greenwich",Chemistry at University of Greenwich can offer support to find external funding and possibly informal arrangements for accommodation,x.cambeiro@gre.ac.uk,https://www.gre.ac.uk/es/science,1,1,,,,,,,"Chemistry, chemistry, organic chemistry, synthesis, electrochemistry, photochemistry, supramolecular chemistry, gels, nanogels",1,,,,,,,6 months,,51.4830,-0.0086
U30,United Kingdom,University of Stirling,"Cara (the Council for At-Risk Academics) provides urgently-needed help to academics in immediate danger, those forced into exile, and many who choose to work on in their home countries despite serious risks. Cara also supports higher education institutions whose work is at risk or compromised. a.k.bobak@stir.ac.uk - Not an official contact for the uni but happy to liaise.",,https://www.cara.ngo/,1,,,,1,,,,All,,,,,,,1,2 years,,56.1461,-3.9199
U31,United Kingdom,University of Cardiff,"A position in my lab for biologist, neuroscientist, student, phd, professor, researcher from Ukraine in Cardiff University funded at least for one year to work on Parkinson’s disease. I can help with accommodation.",sandorc@cardiff.ac.uk,https://www.cardiff.ac.uk/,1,1,,,1,,,,"Biology, Neuroscience",1,,,1,,,,1 year (possibility of extension),,51.4866,-3.1811
U32,United Kingdom,University College London,A postdoc job to a Ukrainian neuroscientist/cell physiologist if they wish to leave the country. My field is neuroscience (specifically patch-clamping and imaging of brain slices),D.Attwell@ucl.ac.uk,,1,,,,1,,,,Neuroscience,,,,,1,,,1 year (possibility of extension),,51.5235,-0.1333
U33,United Kingdom,University of Dundee,Temporary placements for students at any level in labs at Targeted Centre for Protein Degradation,a.ciulli@dundee.ac.uk,https://www.lifesci.dundee.ac.uk/groups/alessio-ciulli//,,1,,,,,,,Chemical Structural Biology and Drug Discovery of Targeted Protein Degradation,1,,,,,,,,,56.4582,-2.9821
U34,United Kingdom,University of Edinburgh,"We do systematic reviews and meta-analyses, largely in biomedical lab based research but also more broadly (food safety, pesticides) ... also could try to find opportunities for clinically qualified neurologists to work in Scotland.",malcolm.macleod@ed.ac.uk,https://www.ed.ac.uk/profile/professor-malcolm-macleod,1,1,,,,,,,"Systematic review, metanalysis of biomedical lab based research",1,,,,1,,,,,55.9445,-3.1914
U35,United Kingdom,University of London,A national Centre for Humanities and Social Science. A number of research groups. Can offer office and residential accommodation and fellowship in one of eight research institutes.,Jo.Fox@sas.ac.uk,https://www.sas.ac.uk/,1,,,1,,,,,"Humanities, Social Sciences",,1,1,,,,,,,51.5211,-0.1309
U36,United Kingdom,Richmond Pharmacology,"Opportunities for full time, paid, interim (3-6 months) employment in the UK for students. Possible longer term appointments available for individuals experienced in clinical trials and research.",s.wilkinson@richmondpharmacology.com,https://www.richmondpharmacology.com/,1,1,,,,,,,Clinical trials of Investigational Medicinal Products,,,,,1,,,,,51.5032,-0.0937
U37,United Kingdom,University of Cambridge,"We can host research visits in the natural language processing group at the University of Cambridge Computer Laboratory. I can be your host, I can also put you in touch with a suitable professor depending on your area of interest, please get in touch. This is not a scheme as such, just me letting you know of the possibility to visit. I'll do my very best to help with the visa, travel, local arrangements, funding. I'd also like to mention CARA (Council for At-Risk Academics) who can provide help / advice more widely in the UK.",apc38@cam.ac.uk,https://www.cl.cam.ac.uk/research/nl/,1,,,,,,,,"NLP, machine learning, education technology",,,,1,,,,,,52.2109,0.0917
U38,United Kingdom,Keele University,I have no funding to support lab work but I should be able to provide office space. I can also provide accomodation.,a.richardson1@keele.ac.uk,https://www.keele.ac.uk/pharmacy-bioengineering/ourpeople/alanrichardson/,1,1,,1,,,,,"Cancer biology, drug discovery",,,,,1,,,,,53.0021,-2.2747
U39,United Kingdom,Cardiff University,"Lab run by Donald Fraser and Tim Bowen offers support for a researcher at any grade. We are based in Cardiff, Wales and can support lab costs for 3 or more months. Our work focusses on RNA (coding and noncoding) in chronic kidney disease. Current projects include study of microRNAs as biomarkers and of single cell sequencing as a means of understanding kidney biology and pathology.",fraserdj@cf.ac.uk,https://www.cardiff.ac.uk/people/view/78692-fraser-donald,1,1,,,1,,,,RNA in chronic kidney disease.,,,,,1,,,,,51.4866,-3.1811
U40,Turkey,Middle East Technical University (METU),"Accomodation, employment, translation support (docs, etc.) for researchers and PhD students.","erogluseckin@gmail.com, yawa33@gmail.com",https://bio.metu.edu.tr/en/faculty/seckin-eroglu,1,1,,1,1,,,,Plant Molecular Biology,1,,,,,,,6 months,,39.8898,32.7801
U41,Turkey,Bahcesehir University,Employment for researchers.,"cemalettin.bekpen@eng.bau.edu.tr, yawa33@gmail.com",https://bau.edu.tr/news/17327-support-by-bahcesehir-university-to-the-war-victim-university-students,1,,,,1,,,,"Biology, Molecular Biology, Genetics",1,,,,,,,Temporary,,41.0422,29.0068
U42,Turkey,Sabanci University,Employment for researchers and PhD students.,"oadebali@sabanciuniv.edu, yawa33@gmail.com",https://adebalilab.org/team/adebali/,1,1,,,1,,,,Computational biology,1,,,,,,,Temporary,,40.8889,29.3745
U43,Switzerland,University of Zurich,"A scientist or PhD student from Ukraine can be hosted in Altermatt lab at University of Zurich, Switzerland; working on/interested in Freshwater, Aquatic, Ecology, Biodiversity Sciences or eDNA (or other fit http://altermattlab.ch).",florian.altermatt@ieu.uzh.ch,https://www.altermattlab.ch/,1,1,,,,,,,"Freshwater, Aquatic, Ecology, Biodiversity, Sciences, eDNA",1,,,,,1,,,,47.3743,8.5335
U44,Switzerland,Institute for Fish and Wildlife Health,"~6 month fellowship in Switzerland for a veterinary, pathologist in wildlife or fish, and/or a researcher in aquaculture/molecular, diagnostics, bioinformatics / epigenetics offered at the Institute for Fish and Wildlife Health of University of Bern.",irene.adrian-kalchhauser@vetsuisse.unibe.ch,https://www.fiwi.vetsuisse.unibe.ch/,1,,,,1,,,,"Veterinary, Pathology in Wildlife or Fish, Aquacultre, Diagnostics, Bioinformatics, Epigenetics",,,,,,1,,6 months,,46.9561,7.4242
U45,Switzerland,University of Zurich,Posibility to stay at our apartment in the living room,hanneke.vantveen@geo.uzh.ch,https://www.geo.uzh.ch/en/units/ess.html,1,,,1,,,,,"Earth System Science, Geography Department",1,,,1,,,,,,47.3965,8.5472
U46,Switzerland,"The Secure, Reliable, and Intelligent Systems Lab Department of Computer Science at ETH Zurich","ETH Zurich is ready to host an Ukrainian researcher/student/intern generally interested in machine learning research, fully paid with all costs covered. More information @the_sri_lab",martin.vechev@inf.ethz.ch,https://www.sri.inf.ethz.ch/,1,1,,,1,,,,"Machine learning, Computer science, artificial intelligence, programming languages",1,,,1,,,,,,47.3784,8.5475
U48,Switzerland,"ETH Zurich, Agricultural Economics and Policy Group",Funding opportunities in Zurich in the Agricultural Economics and Policy Group.,rofinger@ethz.ch,https://aecp.ethz.ch/,,,,,1,,,,Agricultural Economics,,,,,,1,,,,47.3764,8.5454
U49,Switzerland,Scholars At Risk,Scholars at Risk works to protect threatened scholars and promote academic freedom around the world.,ugarkovic@izor.hr,https://www.snf.ch/en/JCcfnAcUehMitWUw/news/news-201029-protection-from-persecution-snsf-supports-scholars-at-risk,,,,,1,,,,,,,,,,,1,,,46.9493,7.4313
U50,Switzerland,University of Zurich,"UZH will do everything in its power to help and support the educators, researchers and students at higher education institutions across Ukraine. Likewise, UZH offers to help its Russian researchers, who find themselves in this situation through no fault of their own.",welcome@int.uzh.ch,https://www.uzh.ch/en/about/global/solidarity-with-ukraine.html,1,1,,,1,,,,,,,,,,,1,,,47.3746,8.5467
U51,Switzerland,Ecole Polytechnique Fédérale de Lausanne,"Lab for the History of Science & Technology at Ecole Polytechnique Fédérale de Lausanne is looking for a Ukrainian historian or sociologist of science and technology at risk from the war. Get in touch, they might be able to help. @lhst_epfl",jerome.baudry@epfl.ch,https://www.epfl.ch/en/,1,,,,,,,,"History,\nSociology",,1,1,,,,,,,46.5171,6.5738
U52,Switzerland,ETH Zurich,If you are a postdoc or PhD student at Ukrainian university in micro economics with a focus on global inequality and poverty and would like to continue your research at ETH Zurich (@ETH_en) they can host and financially support you http://dec.ethz.ch.,isabel.guenther@nadel.ethz.ch,https://ethz.ch/en.html,1,1,,,,,,,Micro economics,,1,,,,,,,,47.3764,8.5454
U53,Switzerland,"Environmental Policy Lab (EPL), ETH Zurich","If you are a postdoc or PhD student at an Ukrainian university focusing on land systems, conservation & development, agribusiness, or supply chain governance Rachael Garrett could temporarily host & support you.",rachael.garrett@gess.ethz.ch,https://ethz.ch/en.html,1,1,,,,,,,"Land systems, conservation & development, agribusiness,  supply chain governance",1,1,,,,1,,,,47.3799,8.5440
U54,Switzerland,Natural History Museum Bern,"Offering to host undergraduate, graduate students and researchers at the Natural History Museum Bern which is in close connection to University of Bern. Accomodation may be provided and longer-term stays may be supported as well.",christian.kropf@iee.unibe.ch,https://www.nmbe.ch/de/museum/team/christian-kropf,1,1,,1,1,,,,"Arachnology,  Zoology",,,,,,,,6 months,,46.9420,7.4487
U55,Switzerland,"College of Humanities (CDH), Ecole Polytechnique Fédérale de Lausanne (EPFL)",Paid internships for researchers (starting from post doctoral researchers) from a Ukraine university or research institution for 3-8 months.,gabriela.tejada@epfl.ch,https://www.epfl.ch/schools/cdh/solidarity-with-ukraine/,1,,,,1,,,,"ethics and neurosciences; digital humanities; cultural heritage; history of science; digital musicology; digital museology; social media, citizen observatories, misinformation.",,1,1,,,,,3 - 8 months,,46.5191,6.5646
U56,Switzerland,ETH Zurich,A insternship position the Stocker lab  ETH Zurich is now available to students/researchers directly affected by the Russian invasion of Ukraine. Please share and get in touch with us!,joeller@ethz.ch,http://stockerlab.ethz.ch,,1,,,,,,,Environmental Microfluidics,1,,,,,,,,,47.4039,8.5072
U57,Switzerland,ETH Zurich,"Offering to host undergraduate, graduate, PhD students and researchers with funding opportunities, at least for several months. The research activities in Functional Inorganic Materials Group are focused on challenges related to the chemistry, physics and applications of inorganic nanostructures. Central to our efforts is the synthesis of inorganic nanocrystals (""NCs""), and the integration and/or self-​assembly of NCs into multifunctional solid state structures.",mvkovalenko@ethz.ch,https://kovalenkolab.ethz.ch/,1,1,,1,1,,,,"Inorganic chemistry, Functional Inorganic Materials, Inorganic nanostructures, nanoscrystals",1,,,,,,,few months (at least),,47.4082,8.5028
U58,Switzerland,ETH Zurich,The Korkhov group at ETH Zurich and PSI has an opening for a Ukrainian student or scientist interested in biochemistry or structural biology,vkorkhov@ethz.ch,https://www.psi.ch/en/lbr/people/volodymyr-korkhov,1,1,,,1,,,,"Biochemistry, structural biology, membrane biology",1,,,,,,,,,47.5378,8.2201
U59,Switzerland,École Polytechnique Fédérale de Lausanne (EPFL),"Post-doc, engineer, visiting researcher, intern in imaging and artificial intelligence",touradj.ebrahimi@epfl.ch,https://www.epfl.ch/labs/mmspg/studentprojects/,1,,,,1,,,,"Imaging, artificial intelligence",1,,,,,,,3-12 months,,46.5294,6.5864
U61,Switzerland,Swiss Federal Institute of Technology Lausanne (EPFL),6 month up to 1 year internships at the laboratory of construction materials (LMC) at Swiss Federal Institute of Technology Lausanne (EPFL). EPFL provides access to language courses and additional support.,franco.zunino@epfl.ch,https://www.epfl.ch/labs/lmc/,,1,,,1,,,,Cement and concrete science and technology,1,,,1,,,,6 months up to 1 year,,46.5190,6.5670
U62,Switzerland,ETH Zurich,"Paid internship for students (STEM preferred, biology ideal). Funding for 1 year secured, option to extend. Part time work in the lab, salary will cover living expenses. We help you find accomodation as well. If you have a child/children, we'll try to help you find solutions.",bohacekj@ethz.ch,https://bohaceklab.ethz.ch,,1,,1,1,,,,"Neuroscience, molecular biology",1,,,,,,,"1 year at least, option for more",,47.3764,8.5454
U64,Sweden,Lund University,We currently have one open post-doctoral position in microbiology,courtney.stairs@biol.lu.se,https://courtneystairs.com/,1,,,,,,,,"Microbiology, protist, anaerobic metabolism, symbiosis, bioinformatics, evolution",1,,,,,,,,,55.7110,13.2042
U65,Sweden,Stockholm University,We have open position for Master students and internships in the following projects:\n1) Development of metal-organic frameworks for renewable energy conversion and storage.\n2) Applications of advanced electron microscopy on the study of porous materials.,zhehao.huang@mmk.su.se,https://www.zhehaohuang.com/,,1,,,1,,,,"Inorganic chemistry, metal-organic frameworks, heterogeneous catalysis, electrochemistry",1,,,,,,,,,59.3689,18.0496
U66,Spain,"BETA Technological Centre, Central University of Catalonia","Postdoc or PhD researchers of any Ukrainian university or research center working in the field of food production, circular bioeconomy, environmental technologies, biodiversity, ecology, soil science or sustainability assessment are welcome to join BETA Technological Centre at the Central University of Catalonia.",info.beta@uvic.cat,https://www.uvic.cat/en/research/BETA-Technological-Centre,1,1,,,,,,,"Food production,\ncircular bioeconomy,\nenvironmental technologies,\nbiodiversity,\necology,\nsoil science,\nsustainability assessment",1,,,,,1,,,,41.9351,2.2615
U67,Spain,Barcelona Biomedical Genomics Lab,"Ukrainian postdoc, PhD or Master's student interested in Cancer Genomics is welcome to join Barcelona Biomedical Genomics Lab Working on Computational Cancer Genomics. Contact: https://twitter.com/nlbigas",bbglab@irbbarcelona.org,https://bbglab.irbbarcelona.org/,1,1,,,,,,,Cancer Genomics,1,,,,1,,,,,41.3822,2.1159
U68,Spain,Josep Carreras Leukaemia Research Institute,Ukrainian postdoc or PhD student interested in cancer genomics or single-cell is welcome to join Ramon y Cajal Fellow\nCancer Immunogenomics Group at Josep Carreras Leukaemia Research Institute.,eporta@carrerasresearch.org,https://www.carrerasresearch.org/en/cancer-immunogenomics_143241,1,1,,,1,,,,"Cancer genomics,\nSingle-cell",1,,,,1,,,,,41.4855,2.2376
U69,Spain,Centre for Genomic Regulation (CRG),"MSc, PhD or postdoc from Ukranian university/ research center specializing in RNA Biology/Computational Biology will be hosted for an internship in Epitranscriptomics and RNA Dynamics lab at Centre for Genomic Regulation. DM: @EvaMariaNovoa",eva.novoa@crg.eu,https://www.crg.eu/ca/programmes-groups/novoa-lab,1,,,,,,,,"RNA Biology,\nComputational Biology",1,,,,1,,,,,41.3854,2.1941
U70,Spain,Departamento de Quimica Organica\r\nUniversidad de Cordoba,"NANOVAL Research Group at Universidad Córdoba warmly welcomes Ukrainian scientists at any level (MSc, PhD, postdoc, Profs). Research focus: organic chemistry, (nano)materials, catalysis, biomass/waste. Conversion accommodation & contract offered! DM @RLuqueAlvarez",q62alsor@uco.es,http://www.uco.es/organiza/departamentos/quimica-organica/index.php/en/,1,1,,1,1,,,,"Organic chemistry, \n(Nano)materials, \nCatalysis, \nBiomass/waste",1,,,,,,,,,37.9154,-4.7182
U71,Spain,Institute of Agrifood Research and Technology (IRTA),"A researcher, postdoc or PhD student from Ukraine working in the agrifood field (biology, agronomy, veterinary, biotechnology or similar) is welcome to join one of the centers of the Institute of Agrifood Research and Technology (IRTA) in Catalonia. RTA is a research institute owned by the Government of Catalonia adscribed to the Ministry of Climate Action, Food and Rural Agenda. \nIRTA‘s mission is to contribute to modernising, improving, boosting competitiveness, and fostering sustainable development in the sectors of agriculture, food, agroforestry, aquaculture, and fishing, as well as in all areas of activity directly or indirectly related to the supply of healthy, high-quality foodstuffs to end consumers, while also contributing to food safety and safe processing of foodstuffs and in general enhancing the health and well-being of the population.",comunicacio@irta.cat,https://www.irta.cat/ca/,1,1,,,1,,,,Agrifood,,,,,,1,,1 year,,41.6130,2.1699
U72,Spain,CIPF Centro de Investigacion Principe Felipe Valencia,Lab or office space for Ukranian scientists or students until the conflict is resolved. Temporary housing under consideration. CIPF is a biomedical research center located in Valencia Spain. Our scientists are willing to provide lab/office space to displaced Ukranian researchers and students.,Director@cipf.es,https://www.cipf.es/,1,1,,,,,,,"Biomedicine, molecular and cellular biology, neurobiology, cancer, nanomedicine",1,,,,1,,,3-6 months,,39.4532,-0.3513
U73,Spain,VHIO Vall d'Hebron Institut d’Oncologia,Laboratory technicians (next-generation sequencing) and postdoc positions; also consider PhD students,jmateo@vhio.net,https://www.vhio.net/programs-groups/preclinical-translational-research/prostate-cancer-translational-research-group/,1,1,,,1,,,,Cancer Genomics,1,,,,1,,,2 years,,41.4286,2.1353
U74,Spain,INIBIC CHUAC-SERGAS,Biomedical research in cancer and age-associated diseases,Ma.Dolores.Mayan.Santos@sergas.es,http://www.inibic.es/portfolio-items/cellcom/,1,1,,1,1,,,,Biomedicine,,,,,1,,,3 months to 1 year,,43.3378,-8.3884
U75,Spain,IMDEA Materials Institute,IMDEA Materials offers the opportunity to carry out a research stay to researchers fleeing from the Russian-Ukrainian conflict. The researchers must have a background in Materials Science related to our research areas.,contact.materials@imdea.org,https://jobs.materials.imdea.org/offer/208#,1,1,,1,1,,,,Materials Science,,,,1,,,,,,40.2726,-3.7286
U76,Spain,Instituto de Ciencia Molecular (Institute for Molecular Science),"Project ""Electrical control of probabilistic bits in chiral molecules"" has an open PhD position (full-time contract). Ideally, backgrounds in computational chemistry or solid state / quantum physics or structural bioinformatics.",gaita@uv.es,https://www.icmol.es/archivos/predoctoral_contract_alex_gaita.pdf,,1,,,1,,,,"Molecular qubits / pbits, chirality, molecular spintronics",1,,,,,,,3-4 years,,39.5143,-0.4276
